record_id,timestamp,location,temperature,smoke_level,carbon_monoxide
1,2018-04-27T04:13:19Z,Waramanga,87.9,28,43.3
2,2020-07-08T04:13:19Z,Aranda,73.2,202,72.1
3,2020-11-10T04:13:19Z,Amaroo,21.4,31,57.6
4,2020-01-10T04:13:19Z,Bruce,39.7,69,83.5
5,2019-07-16T04:13:19Z,Weston,61.0,225,29.5
6,2018-07-03T04:13:19Z,Theodore,56.1,53,18.6
7,2023-09-21T04:13:19Z,Beard,72.7,208,33.8
8,2020-03-06T04:13:19Z,Bonython,18.9,161,71.8
9,2024-06-03T04:13:19Z,Calwell,25.3,35,44.4
10,2016-02-07T04:13:19Z,Campbell,20.6,139,46.7
11,2014-11-30T04:13:19Z,Pearce,78.5,212,84.3
12,2023-02-01T04:13:19Z,Torrens,66.4,175,84.1
13,2018-01-01T04:13:19Z,Farrer,46.7,282,65.6
14,2015-04-09T04:13:19Z,Mitchell,87.0,58,76.3
15,2017-10-14T04:13:19Z,Yarralumla,70.2,212,84.3
16,2017-04-10T04:13:19Z,Yarralumla,44.0,295,11.3
17,2016-08-31T04:13:19Z,Narrabundah,91.9,8,45.7
18,2022-06-24T04:13:19Z,Wright,79.9,183,0.0
19,2016-11-23T04:13:19Z,Page,39.3,71,67.6
20,2020-11-27T04:13:19Z,Forrest,67.8,155,80.4
21,2021-09-16T04:13:19Z,Banks,57.9,253,6.6
22,2017-07-23T04:13:19Z,Gordon,49.7,274,43.5
23,2017-01-06T04:13:19Z,Weston,81.3,189,24.6
24,2018-12-28T04:13:19Z,Spence,64.2,20,5.9
25,2016-11-06T04:13:19Z,Hughes,97.7,130,85.5
26,2022-02-20T04:13:19Z,Macarthur,64.9,104,72.0
27,2015-09-21T04:13:19Z,Pearce,97.2,2,39.9
28,2024-09-16T04:13:19Z,Throsby,54.2,187,78.9
29,2015-05-20T04:13:19Z,Bonner,58.0,87,10.1
30,2017-10-07T04:13:19Z,Hughes,70.8,37,79.7
31,2019-05-27T04:13:19Z,Richardson,60.2,96,40.5
32,2018-06-19T04:13:19Z,Forrest,90.0,140,62.2
33,2016-01-12T04:13:19Z,Giralang,29.6,140,78.8
34,2016-08-15T04:13:19Z,Torrens,65.3,278,77.3
35,2019-08-05T04:13:19Z,Fisher,51.5,234,5.9
36,2015-12-23T04:13:19Z,Mitchell,40.6,159,67.2
37,2022-05-16T04:13:19Z,Watson,98.8,257,69.7
38,2023-09-22T04:13:19Z,Farrer,96.9,282,58.4
39,2015-01-30T04:13:19Z,Kaleen,58.6,46,69.6
40,2023-11-14T04:13:19Z,Narrabundah,33.8,124,87.2
41,2022-05-16T04:13:19Z,Barton,77.3,44,24.6
42,2020-07-12T04:13:19Z,Aranda,87.7,36,73.8
43,2017-02-12T04:13:19Z,Whitlam,19.0,281,79.4
44,2017-10-03T04:13:19Z,Ainslie,21.9,227,95.4
45,2019-03-28T04:13:19Z,Hall,65.5,38,81.3
46,2019-11-20T04:13:19Z,Gordon,85.5,117,15.5
47,2020-06-14T04:13:19Z,Hughes,16.7,159,11.8
48,2014-10-27T04:13:19Z,Chifley,15.3,240,51.0
49,2022-08-02T04:13:19Z,Chapman,54.5,32,93.4
50,2015-09-17T04:13:19Z,Charnwood,77.7,177,58.7
51,2016-10-13T04:13:19Z,Giralang,18.0,132,80.6
52,2021-11-18T04:13:19Z,Mitchell,59.9,144,96.4
53,2022-11-10T04:13:19Z,Barton,35.0,209,63.1
54,2020-10-26T04:13:19Z,Lyneham,27.8,140,36.0
55,2015-07-05T04:13:19Z,Macquarie,78.5,209,76.7
56,2016-03-01T04:13:19Z,Amaroo,18.4,11,34.4
57,2021-08-08T04:13:19Z,McKellar,57.7,179,45.0
58,2016-07-22T04:13:19Z,Jacka,59.0,300,28.6
59,2023-03-22T04:13:19Z,Waramanga,56.6,290,86.3
60,2022-11-07T04:13:19Z,Taylor,27.1,299,45.5
61,2017-07-02T04:13:19Z,Hume,50.4,225,60.6
62,2022-10-21T04:13:19Z,Barton,44.4,154,25.3
63,2021-02-22T04:13:19Z,Dickson,95.2,51,20.3
64,2014-12-20T04:13:19Z,Macarthur,34.8,104,90.3
65,2023-12-30T04:13:19Z,Campbell,42.4,80,19.1
66,2020-08-09T04:13:19Z,Page,39.7,225,31.1
67,2017-06-09T04:13:19Z,Hume,35.3,164,56.5
68,2018-08-27T04:13:19Z,Evatt,27.7,153,28.8
69,2023-03-31T04:13:19Z,Rivett,35.5,126,64.9
70,2017-08-04T04:13:19Z,Wanniassa,32.8,258,94.1
71,2024-06-27T04:13:19Z,Reid,54.1,216,51.2
72,2019-07-18T04:13:19Z,Spence,99.2,69,15.6
73,2021-12-15T04:13:19Z,Cook,95.8,177,72.9
74,2018-03-20T04:13:19Z,Narrabundah,27.9,216,7.6
75,2015-10-04T04:13:19Z,O'Malley,65.4,137,3.8
76,2021-10-26T04:13:19Z,Fadden,92.3,199,63.1
77,2019-01-03T04:13:19Z,Kambah,29.6,188,91.8
78,2021-12-11T04:13:19Z,Gungahlin,70.4,26,96.0
79,2023-07-06T04:13:19Z,Narrabundah,79.7,281,85.2
80,2024-08-19T04:13:19Z,Molonglo,68.3,253,24.4
81,2023-06-10T04:13:19Z,Gordon,98.2,71,14.5
82,2015-07-28T04:13:19Z,Gungahlin,21.6,36,17.4
83,2017-04-04T04:13:19Z,Spence,74.7,239,82.9
84,2014-11-03T04:13:19Z,Higgins,63.6,236,45.8
85,2021-12-15T04:13:19Z,Beard,94.5,272,23.9
86,2020-08-26T04:13:19Z,Charnwood,45.9,2,97.2
87,2023-03-22T04:13:19Z,Hall,71.7,241,69.3
88,2021-03-13T04:13:19Z,Stirling,31.7,281,32.3
89,2016-09-12T04:13:19Z,Amaroo,55.3,166,60.6
90,2016-01-22T04:13:19Z,Ainslie,60.7,214,16.8
91,2018-10-09T04:13:19Z,Jacka,17.1,116,17.7
92,2015-12-26T04:13:19Z,Page,57.9,74,90.4
93,2019-05-02T04:13:19Z,Fraser,29.1,192,56.4
94,2017-12-12T04:13:19Z,Isabella Plains,71.9,101,15.9
95,2016-01-22T04:13:19Z,Isabella Plains,45.5,283,62.0
96,2020-10-27T04:13:19Z,Kaleen,45.2,72,52.7
97,2020-11-27T04:13:19Z,Lawson,18.7,223,3.9
98,2022-03-31T04:13:19Z,Acton,59.0,103,52.2
99,2016-07-02T04:13:19Z,Wright,61.5,10,67.4
100,2021-10-10T04:13:19Z,Greenway,49.1,126,60.0
101,2023-09-04T04:13:19Z,Phillip,88.1,239,55.7
102,2023-01-14T04:13:19Z,Higgins,91.4,278,94.1
103,2020-08-16T04:13:19Z,Torrens,34.4,44,78.7
104,2019-04-04T04:13:19Z,Higgins,32.0,117,51.2
105,2019-06-29T04:13:19Z,Gordon,99.4,47,9.3
106,2017-02-14T04:13:19Z,Acton,82.3,70,64.2
107,2020-10-14T04:13:19Z,Monash,20.6,112,23.7
108,2019-11-07T04:13:19Z,Kenny,18.1,175,39.3
109,2023-04-11T04:13:19Z,Bruce,21.5,60,18.9
110,2022-07-06T04:13:19Z,Ngunnawal,98.4,189,82.1
111,2023-11-26T04:13:19Z,City,60.2,182,37.8
112,2018-12-08T04:13:19Z,Reid,35.7,134,94.9
113,2023-08-07T04:13:19Z,Fyshwick,35.5,268,50.4
114,2023-03-17T04:13:19Z,Page,53.1,38,58.0
115,2015-05-20T04:13:19Z,Weston,25.5,57,36.0
116,2017-04-07T04:13:19Z,Greenway,77.4,290,69.9
117,2023-04-21T04:13:19Z,Greenway,90.0,204,75.3
118,2020-10-07T04:13:19Z,Bonner,98.7,180,41.9
119,2023-06-16T04:13:19Z,Farrer,31.8,253,40.5
120,2022-11-11T04:13:19Z,Barton,80.5,156,86.5
121,2023-12-30T04:13:19Z,Kaleen,61.6,37,77.5
122,2023-11-06T04:13:19Z,Franklin,84.2,175,82.7
123,2022-12-29T04:13:19Z,Turner,48.2,123,46.0
124,2024-07-22T04:13:19Z,Kambah,74.2,239,68.8
125,2015-06-09T04:13:19Z,Cook,81.5,63,17.2
