MovieID,Title,Genres,AverageRating,MaleAverageRating,FemaleAverageRating,MaleCount,FemaleCount
1,Toy Story (1995),Animation|Children's|Comedy,,,,,
2,Jumanji (1995),Adventure|Children's|Fantasy,4.15,4.13,4.19,1486.0,591.0
3,Grumpier Old Men (1995),Comedy|Romance,3.2,3.18,3.28,525.0,176.0
4,Waiting to Exhale (1995),Comedy|Drama,3.02,2.99,3.07,342.0,136.0
5,Father of the Bride Part II (1995),Comedy,2.73,2.48,2.98,85.0,85.0
6,Heat (1995),Action|Crime|Thriller,3.01,2.89,3.21,188.0,108.0
7,Sabrina (1995),Comedy|Romance,3.88,3.91,3.68,811.0,129.0
8,Tom and Huck (1995),Adventure|Children's,3.41,3.27,3.59,254.0,204.0
9,Sudden Death (1995),Action,3.01,2.78,3.36,40.0,28.0
10,GoldenEye (1995),Action|Adventure|Thriller,2.66,2.72,2.1,92.0,10.0
11,American President  The (1995),Comedy|Drama|Romance,3.54,3.55,3.47,754.0,134.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,3.79,3.72,3.92,654.0,379.0
13,Balto (1995),Animation|Children's,2.36,2.25,2.89,132.0,28.0
14,Nixon (1995),Drama,3.26,3.11,3.64,71.0,28.0
15,Cutthroat Island (1995),Action|Adventure|Romance,3.54,3.5,3.75,125.0,28.0
16,Casino (1995),Drama|Thriller,2.46,2.34,3.2,126.0,20.0
17,Sense and Sensibility (1995),Drama|Romance,3.79,3.84,3.61,549.0,133.0
18,Four Rooms (1995),Thriller,4.03,3.82,4.23,415.0,420.0
19,Ace Ventura: When Nature Calls (1995),Comedy,3.34,3.36,3.22,130.0,27.0
20,Money Train (1995),Action,2.48,2.54,2.27,300.0,89.0
21,Get Shorty (1995),Action|Comedy|Drama,2.54,2.53,2.6,145.0,15.0
22,Copycat (1995),Crime|Drama|Thriller,3.62,3.63,3.6,1070.0,286.0
23,Assassins (1995),Thriller,3.35,3.31,3.44,272.0,106.0
